,Términos,enfado.4,ansiedad,tristeza.4,positiva,negativa
309,desafiante,0.0,0.0,0.0,0.0,0.0
310,desahogándome,0.0,0.0,0.0,0.0,1.0
311,desafío,0.0,0.0,0.0,0.0,0.0
312,tristemente,0.0,0.0,1.0,0.0,1.0
313,desalentadora,0.0,0.0,0.0,0.0,1.0
314,desalentadoras,0.0,0.0,0.0,0.0,1.0
315,desalentadores,0.0,0.0,0.0,0.0,1.0
316,desanimar,0.0,0.0,1.0,0.0,1.0
317,desanimada,0.0,0.0,1.0,0.0,1.0
318,desanimadas,0.0,0.0,1.0,0.0,1.0
319,desanimado,0.0,0.0,1.0,0.0,1.0
320,desanimados,0.0,0.0,1.0,0.0,1.0
321,desastre,0.0,0.0,0.0,0.0,1.0
322,desaparición,0.0,0.0,0.0,0.0,0.0
323,desastrosa,0.0,0.0,0.0,0.0,1.0
324,desastroso,0.0,0.0,0.0,0.0,1.0
325,desastrosos,0.0,0.0,0.0,0.0,1.0
326,descanso,0.0,0.0,0.0,0.0,0.0
327,descarada,0.0,0.0,0.0,0.0,1.0
328,descaradas,0.0,0.0,0.0,0.0,1.0
329,descarado,0.0,0.0,0.0,0.0,1.0
330,descompuesto,0.0,0.0,0.0,0.0,1.0
331,descarados,0.0,0.0,0.0,0.0,1.0
332,desdichada,0.0,1.0,1.0,0.0,1.0
333,desdichado,0.0,1.0,1.0,0.0,1.0
334,desesperado,0.0,1.0,0.0,0.0,1.0
335,desdichados,0.0,1.0,1.0,0.0,1.0
336,desesperada,0.0,1.0,0.0,0.0,1.0
337,desesperadas,0.0,1.0,0.0,0.0,1.0
338,desesperanzado,0.0,1.0,0.0,0.0,1.0
339,desesperados,0.0,1.0,0.0,0.0,1.0
340,desgarrador,0.0,0.0,1.0,0.0,1.0
341,desgarradora,0.0,0.0,1.0,0.0,1.0
342,desechar,0.0,0.0,0.0,0.0,1.0
343,desgarradores,0.0,0.0,1.0,0.0,1.0
344,deshonra,0.0,1.0,0.0,0.0,1.0
345,deshonrada,0.0,1.0,0.0,0.0,1.0
346,deshonrados,0.0,1.0,0.0,0.0,1.0
347,deshonrado,0.0,1.0,0.0,0.0,1.0
348,deshonras,0.0,1.0,0.0,0.0,1.0
349,desilusión,0.0,0.0,1.0,0.0,1.0
350,desintegrarse,0.0,0.0,0.0,0.0,1.0
351,desilusiones,0.0,0.0,1.0,0.0,1.0
352,flagrante,1.0,0.0,0.0,0.0,1.0
353,deslumbramiento,0.0,0.0,0.0,0.0,0.0
354,deslumbrante,0.0,0.0,0.0,0.0,0.0
355,lúgrube,0.0,0.0,1.0,0.0,1.0
356,desorden,0.0,1.0,0.0,0.0,1.0
357,fastidiar,1.0,0.0,0.0,0.0,1.0
358,despiadada,1.0,0.0,0.0,0.0,1.0
359,despiadadas,1.0,0.0,0.0,0.0,1.0
360,despiadados,1.0,0.0,0.0,0.0,1.0
361,despiadado,1.0,0.0,0.0,0.0,1.0
362,despreciables,0.0,0.0,1.0,0.0,1.0
363,despreciable,0.0,0.0,1.0,0.0,1.0
364,despreciar,0.0,0.0,1.0,0.0,1.0
365,desprecio,0.0,0.0,1.0,0.0,1.0
366,despreocupada,0.0,0.0,0.0,1.0,0.0
